duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id,director,country,cast,listed_in
90,,Movie,Norm of the North: King Sized Adventure,2019-09-09 00:00:00,2019.0,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",81145628.0,Richard Finn,United States,Alan Marriott,Children & Family Movies
99,,Movie,#realityhigh,2017-09-08 00:00:00,2017.0,TV-14,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",80125979.0,Fernando Lebrija,United States,Nesta Cooper,Comedies
110,,Movie,Automata,2017-09-08 00:00:00,2014.0,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",70304989.0,Gabe Ibáñez,Bulgaria,Antonio Banderas,International Movies
60,,Movie,Fabrizio Copano: Solo pienso en mi,2017-09-08 00:00:00,2017.0,TV-MA,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",80164077.0,Rodrigo Toro,Chile,Fabrizio Copano,Stand-Up Comedy
90,,Movie,Good People,2017-09-08 00:00:00,2014.0,R,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,70304990.0,Henrik Ruben Genz,United States,James Franco,Action & Adventure
95,,Movie,Kidnapping Mr. Heineken,2017-09-08 00:00:00,2015.0,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",70299204.0,Daniel Alfredson,Netherlands,Jim Sturgess,Action & Adventure
135,,Movie,Love,2017-09-08 00:00:00,2015.0,NR,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,80057969.0,Gaspar Noé,France,Karl Glusman,Cult Movies
98,,Movie,Manhattan Romance,2017-09-08 00:00:00,2014.0,TV-14,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,80060297.0,Tom O'Brien,United States,Tom O'Brien,Comedies
96,,Movie,Moonwalkers,2017-09-08 00:00:00,2015.0,R,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",80046728.0,Antoine Bardou-Jacquet,France,Ron Perlman,Action & Adventure
113,,Movie,Stonehearst Asylum,2017-09-08 00:00:00,2014.0,PG-13,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",70304988.0,Brad Anderson,United States,Kate Beckinsale,Horror Movies
